LIA_NUM,DATE,APE_SICORE,LIB_SICORE,EVT_SICORE,AUTO,NAT_SICORE,SURF
J00010006948,2022-03-10 19:32:44,6201Z,CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES  LA PLANIFICATION ET LA CONCEPTION  ETUDES  CONSEIL  DE SYSTEMES INFORMATIQUES INTEGRANT,01P,X,,
J00010006997,2022-03-10 19:32:49,6910Z,AVOCAT,01P,X,,
J00010006542,2022-03-10 04:11:35,1512Z,PRESTATION DE VENTE ET DORURE SUR CUIR,05P,X,,
J00010005908,2022-03-09 11:31:53,9609Z,CONSEIL EN HYGIENE DE VIE  BIEN ETRE  SELON LA NATUROPATHIE   PRENDRE SOIN DE SOIN PAR DES TECHNIQUES NATURELLES,01P,X,,
J00010005007,2022-03-07 19:33:34,7410Z,PRESTATION DE SERVICE  DECORATION EVENEMENTIELLE  ACHAT DE MATIERE PREMIERE COMME LES FLEURS   ET LOCATION EN SECONDAIRE DE MATERIELS,01P,X,,
J00010003333,2022-02-22 19:32:11,8559B,FORMATEUR INDEPENDANT,01P,X,,
J00010004497,2022-03-07 11:35:36,6910Z,EXPERTISE AUPRES DES TRIBUNAUX  EN PARTICULIER PRUD HOMMES,54P,X,,
J00010004539,2022-03-03 19:32:09,8559A,FORMATION CONTINUE D ADULTES DANS LE SECTEUR DU BATIMENT,01P,X,,
J00010004133,2022-03-01 19:32:37,7022Z,CONSULTING POUR AIDER LA CREATION ET LE DEVELOPPEMENT DE PROJETS ENTREPRENEURIAUX,01P,X,,
J00010006559,2022-03-10 13:43:19,9329Z,PRESTATION DE SERVICE DANS LE DOMAINE DE L EVENEMENTIEL,01P,X,,
J00010005379,2022-03-08 19:37:14,7420Z,ARTISTE PHOTO,01P,X,,
J00010003507,2022-02-25 11:31:39,6820A,LOCATION MEUBLEE PROFESSIONNELLE,01P,I,,
J00010003473,2022-02-24 19:31:56,9609Z,PRATICIENNE EN HYPNOSE ET SEXOTHERAPIE,01P,X,,
J00010006369,2022-03-09 19:38:51,7410Z,CREATION DE VISUELS ET D ILLUSTRATIONS A L AIDE D OUTILS INFORMATIQUE ET DE LOGICIELS CREATIFS DE PAO ,01P,X,,
J00010004729,2022-03-04 19:32:33,8219Z,SECRETARIAT EXTERNALISE  ASSISTANTE ADMINISTRATIVE  ASSISTANTE COMMERCIALE A DESTINATION DES PROFESSIONNELS ET PARTICULIERS,01P,M,99,
J00010004653,2022-03-04 19:32:27,9609Z,CABINET DE PSYCHOLOGIE EN LIBERAL,01P,L,,
J00010004000,2022-02-28 19:37:41,9002Z,ANIMATIONS CULTURELLES ET EVENEMENTIEL  AUTEUR  TABLES RONDES  SPECTACLES  INFORMATION DU PUBLIC,05P,X,,
J00010004422,2022-03-08 12:09:23,8551Z,PROFESSEUR DE YOGA,05P,X,,
J00010004992,2022-03-07 19:33:33,8121Z,CONCIERGE ENTRETIEN ET MAINTENANCE DE LA RESIDENCE CHEZ LE CLIENT  ENROBE  TERRASSEMENT  PAYSAGISTE  ELAGAGE ENTRETIEN DES ESPACES VERTS,01P,X,,
J00010004927,2022-03-07 19:33:27,9329Z,ANIMATION AVEC PLANETARIUM D ASTRONOMIE ITINERANT,01P,X,,
J00010005429,2022-03-10 19:32:43,9609Z,MEDIUM  COACH  THERAPEUTE  ART THERAPIE  MEDITATION  ARTS DIVINATOIRES  FORMATION ,05P,X,,
J00010004190,2022-03-01 19:32:43,6202A,CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES  6202A ,01P,L,,
J00010006989,2022-03-10 19:32:48,6201Z,CREATION DE SITE WEB,01P,X,,
J00010004240,2022-03-01 19:32:46,7022Z,CONSEIL AUX ENTREPRISES   ANALYSE DU MANAGEMENT  DU MARKETING  DE LA STRATEGIE  DES FINANCES   ,01P,X,,
J00010005999,2022-03-09 19:38:47,3109B,DORURE A LA FEUILLE   CONSERVATION RESTAURATION DE BOIS DORES   CADRES  MIROIRS  MOBILIER     CREATIONS   TABLEAUX ET OBJETS DORES    ,05P,M,99,
J00010006443,2022-03-09 19:38:56,9329Z,PRESTATION D ORGANISATION D EVENEMENTS POUR PARTICULIERS,01P,X,,
J00010006419,2022-03-09 19:38:55,9319Z,GROOM CAVALIER INDEPENDANT,05P,X,,
J00010003903,2022-02-28 19:37:32,6202A,CONSEIL ET ASSISTANCE DANS LES DOMAINES DU NUMERIQUE FORMATION A L UTILISATION DES ORDINATEURS CREATION D APPLICATIONS MULTIMEDIA ,01P,X,,
J00010006393,2022-03-09 19:38:55,6202A,APPORT D EXPERTISE TECHNICO FONCTIONNELLE DANS LE DOMAINE INFORMATIQUE  CONSEIL  CONCEPTION  REALISATION ,01P,X,,
J00010003556,2022-02-25 19:33:21,7410Z,PRESTATIONS DE D INFOGRAPHIE 3D   IMAGES DE SYNTHESE,01P,X,,
J00010005593,2022-03-09 03:41:59,7021Z,SERVICES LIES A LA COMMUNICATION ET MARKETING,01P,X,,
J00010004943,2022-03-08 10:03:33,0162Z,PENSION ET TRAVAIL DES CHEVAUX DANS LE RESPECT DE LEUR INTEGRITE PHYSIQUE  PHYSIOLOGIQUE ET PSYCHIQUE,05P,A,,
J00010007169,2022-03-11 03:59:05,9609Z,PSYCHOLOGIE ET PSYCHOPATHOLOGIE CLINIQUES  CLINIQUES INTERCULTURELLES ET TRANSCULTURELLES,01P,X,,
J00010005940,2022-03-09 19:38:46,5320Z,LIVRAISON UBER EATS,01P,X,,
J00010004430,2022-03-03 11:34:56,8559A,FORMATION ET ENCADREMENT DE PROCEDURES DE CARDIOLOGIE INTERVENTIONNELLES  CONGRES ET COURS EN LIGNE,54P,X,,
J00010005338,2022-03-09 10:40:55,7410Z,DECORATION D INTERIEUR   CREATION ET VENTE D OBJETS DE DECORATION   COACHING ET CONSEILS EN DECORATION D INTERIEUR  ,54P,L,,
J00010007003,2022-03-10 19:32:51,7112B,ENGINEERING ET CONSEILS CYNEGETIQUES,01P,X,,
J00010004687,2022-03-04 19:32:31,8690E,ACTES DE REEDUCATION ET DE READAPTATION  ADAPTATION DE L ENVIRONNEMENT DE LA PERSONNE  CONSEILS ET FORMATIONS AUPRES DES BENEFICIAIRES,01P,L,,
J00010004950,2022-03-07 19:33:29,9609Z,MAITRE PRATICIEN EN HYPNOSE ERICKSONIENNE,01P,X,,
J00010005973,2022-03-09 19:38:46,7021Z,CONSEIL EN COMMUNICATION,05P,X,,
J00010006476,2022-03-10 04:11:35,7410Z,CREATION DE CONTENUES GRAPHIQUE,01P,X,,
J00010005262,2022-03-08 19:37:07,7022Z,ACTIVITE DE CONSEIL,01P,X,,
J00010004356,2022-03-02 11:31:40,7022Z,CONSEILS AU DEVELOPPEMENT DE PROJETS DE PRODUCTION D ENERGIES RENOUVELABLES ET AIDES A LA COMMUNICATION ET RELATIONS PUBLIQUES,01P,X,,
J00010005403,2022-03-08 19:37:16,7420Z,PRISES DE VUES AERIENNES PAR DRONE,01P,X,,
J00010003960,2022-02-28 19:37:38,7490B,DESSINS ET ETUDES TECHNIQUES  DAO CAO MAO BIM ETC   RELEVES VISITES MESURES TERRAIN  AINSI QUE DIVERSES MISSIONS D ASSISTANCE ET DE CONSEI,01P,X,,
J00010005296,2022-03-09 08:40:41,7490B,CONSEIL EN RSE DEVELOPPEMENT DURABLE ET COMMUNICATION,54P,X,,
J00010005916,2022-03-09 12:37:56,7021Z,REDACTION DE TEXTES POUR DES CLIENTS DANS LE BUT DE VENDRE DES PRODUITS OU DES SERVICES SUR INTERNET ,01P,X,,
J00010006450,2022-03-10 04:11:35,4619B,AGENT COMMERCIALE,05P,C,99,
J00010002921,2022-02-11 11:31:36,7120B,REALISATION DES DIAGNOSTICS TECHNIQUES IMMOBILIERS OBLIGATOIRES DANS LE CADRE DE LA VENTE OU LA LOCATION DE BIENS IMMOBILIERS ,01P,C,99,
J00010003549,2022-02-28 11:54:42,8299Z,COURTIER EN TRAVAUX,01P,C,99,
J00010004919,2022-03-07 19:33:25,8559B,COURS DE LANGUE,01P,X,,
J00010005080,2022-03-08 04:22:00,3299Z,MULTISERVICES ARTISANALES,05P,X,,
J00010005130,2022-03-08 04:22:04,7410Z,TRAVAILLE DE STYLISME  MODELISME ET COUTURE,05P,X,,
J00010004976,2022-03-07 19:33:30,7430Z,INTERPRETATION ORALE DE SEMINAIRES  STAGES  FORMATIONS   TRADUCTION ECRITE DE SUPPORTS DE FORMATION  DE LIVRES,05P,L,,
J00010004489,2022-03-03 19:32:06,7410Z,HOME ORGANISING ,01P,X,,
J00010005536,2022-03-08 19:37:22,5811Z,RELECTURE DE MANUSCRITS DANS LES DOMAINES DE L HISTOIRE  DE L HISTOIRE DE L ART ET DE L ARCHEOLOGIE ET CORRECTIONS ,01P,X,,
J00010005056,2022-03-08 04:21:58,9609Z,PROMENADES INDIVIDUELLES OU COLLECTIVES DE CHIENS,01P,X,,
J00010005106,2022-03-08 04:22:02,6201Z,REALISATION DE SITE WEB  CHARTE GRAPHIQUE  SEO  PRINT  SERVICES LIES A INTERNET  MEDIATION NUMERIQUE  A DOMICILE OU DISTANCE ,01P,X,,
J00010002681,2022-02-07 19:32:19,7420Z,PRODUCTION DE VIDEOS POUR MARIAGES  EVENEMENTS ET CLIPS DE MUSIQUE,01P,C,04,
J00010007060,2022-03-10 19:32:54,4520A,NETTOYAGE AUTO INTERIEUR ET EXTERIEUR   PREPARATION ESTHETIQUE,05P,X,,
J00010006906,2022-03-10 19:32:43,7490B,CONSULTANCE SCIENTIFIQUE ET PEDAGOGIQUE,01P,X,,
J00010006500,2022-03-11 08:42:32,9521Z,REPARATION ET CUSTOMISATION D APPAREILS ELECTRONIQUES,05P,X,,
J00010006468,2022-03-10 09:06:27,9329Z,GESTION DE PROJETS EVENEMENTIELS  CONCEPTION DE SPECTACLES PYROTECHNIQUES,54P,X,,
J00010005569,2022-03-09 03:41:58,8559B,INSTRUCTEUR  DE  RESPIRATION ET DE BAIN FROID   METHODE WIM HOF  ,05P,X,,
J00010005270,2022-03-08 19:37:09,9609Z,INTERVENTIONS EN TANT QUE PSYCHOLOGUE CLINICIENNE,01P,X,,
J00010003101,2022-02-18 03:44:41,6202A,SERVICE DE CONSEIL EN INFORMATIQUE ET INGENIERIE LOGICIELLE ,01P,L,,
J00010002731,2022-02-07 19:32:23,8559B,FORMATION  CONSEIL EN GESTION ADMINSTRATIVE,05P,L,,
J00010006336,2022-03-09 19:38:49,6202A,CONSEIL EN INFORMATIQUE,01P,X,,
J00010004083,2022-03-01 11:31:37,7112B,ETUDES BIBLIOGRAPHIQUES  EXPERTISES DANS LE DOMAINE DES CHAMPS ELECTROMAGNETIQUES,01P,X,,
J00010007110,2022-03-11 03:59:01,5121Z,SERVICE DE PILOTAGE DE DRONE A DES FINS DE REALISATION DE VIDEOS   PRISE DE PHOTOGRAPHIES DE BATIMENTS  MATERIELS  CHANTIERS DE CONSTRUC,01P,X,,
J00010004679,2022-03-04 19:32:30,9609Z,ACCOMPAGNEMENT DES MAMANS A LA SORTIE DE LA MATERNITE  POUR LE BESOIN DE L ENFANT  CONSEIL A L ALLAITEMENT  HYGIENE  ORGANISATION FAMILL,01P,X,,
J00010014777,2022-03-21 11:32:14,9604Z,PRESTATION DE MASSAGE BIEN ETRE A DOMICILE,05P,X,,
J00010004893,2022-03-07 19:33:09,6910Z,AVOCAT,01P,L,,
J00010008407,2022-03-12 11:31:30,7022Z,METIERS DU CONSEIL ET DES SERVICES AUX ENTREPRISES ET AUX PERSONNES,01P,X,,
J00010018968,2022-03-26 04:18:48,6201Z,CREATION ET HEBERGEMENT DE SITE INTERNET VITRINE OU E COMMERCE  INSTALLATION OU DEVELOPPEMENT DES THEMES ET DES MODULES ASSOCIES,01P,C,99,
J00010019057,2022-03-26 04:18:55,4791A,VENTE EN LIGNE,05P,C,99,
J00010005023,2022-03-07 19:33:37,9329Z,GESTION DE PARTIES D ESCAPE GAME ,01P,X,,
J00010017267,2022-03-24 03:38:37,4669B,FOURNITURES ET PRODUITS POUR LES SECTEURS DE L INDUSTRIE  DE LA RESTAURATION ET DE LA MAISON,01P,C,99,
J00010003986,2022-03-03 11:31:47,7021Z,CONSEILS EN MARKETING ET COMMUNICATION EVENEMENTIELLE,01P,X,,
J00010019032,2022-03-26 04:18:54,4759A,BOUTIQUE MEUBLES  DECORATION ,05P,C,10,
J00010014512,2022-03-19 19:31:42,7830Z,CONSEIL SUR LE RECRUTEMENT   ANIMATION D ATELIER,01P,X,,
J00010016707,2022-03-23 14:39:22,4332A,INSTALLATION DE MENUISERIES GENERALES  AGENCEMENT  ETC,01P,M,14,
J00010007086,2022-03-11 03:58:59,5913B,REALISATION AUDIOVISUELLE  TOURNAGE MONTAGE ETALONNAGE MIXAGE  POST PRODUCTION  COMPOSITION MUSICALE  CODE APE  5913B,01P,X,,
J00010012367,2022-03-22 19:35:05,9609Z,THERAPEUTE EN SOINS AKASHIQUES,05P,X,,
J00010013027,2022-03-17 19:32:45,7021Z,CONSEIL EN IMAGE  FORMATION SUR LE CONSEIL EN IMAGE PROFESSIONNELLE  RELOOKING,05P,X,,
J00010007748,2022-03-15 11:10:16,4778C,E COMMERCE DE PRODUITS ARTISANAUX,01P,C,99,
J00010012482,2022-03-22 19:34:52,8121Z,ACTIVITE MULTI SERVICES  AIDE A LA PERSONNE ENTRETIENT LOGEMENT ET TRAVAUX D ENTRETIEN  TRANSPORT VEGETAUX,01P,X,,
J00010017127,2022-03-23 19:35:56,8559A,FORMATIONS ET EXPERTISES POLICE,01P,X,,
J00010010627,2022-03-14 08:53:38,5621Z,CHEF DE CUISINE A DOMICILE,01P,C,99,
J00010013852,2022-03-19 03:54:46,8559A,FORMATION DES ENSEIGNANTS AUX NOUVELLES PEDAGOGIES AINSI QUE DES PRESTATIONS DANS L ENSEIGNEMENT SECONDAIRE,01P,X,,
J00010006427,2022-03-16 11:37:37,9609Z,ACTIVITE DE PETSITTER AU DOMICILE DES CLIENTS  RENCONTRE CHIEN MAITRE SUR EHPAD  RESIDENCE DU MAITRE  MASSAGE CANIN CONSEILS EDUCATION CHIEN,01P,X,,
J00010004406,2022-03-03 11:31:46,7410Z,CREATION DE PROJET EN 3D PAR ORDINATEUR   PRODUCTION DE RENDUS VISUELS ET DE GRAPHISMES  ,01P,X,,
J00010013787,2022-03-18 19:32:16,5813Z,EDITION DE BLOG ET REDACTION DE CONTENU EN LIGNE ,01P,X,,
J00010012292,2022-03-16 19:35:29,8211Z,ASSISTANAT DU DIRIGEANT DANS SES TACHES QUOTIDIENNES  ADMINISTRATIVES  ACHAT DE FOURNITURES  RECHERCHE DE MOYENS LOGISTIQUES POUR LA REALI,05P,X,,
J00010014678,2022-03-20 19:31:37,4942Z,DEMENAGEMENT D OEUVRES D ARTS  MANUTENTION  ,01P,X,,
J00010014652,2022-03-20 19:31:35,8121Z,MENAGE,01P,X,,
J00010014702,2022-03-20 19:31:41,8121Z,ACTIVITE DE MULTI SERVICES DANS LE JARDINAGE  LE BRICOLAGE  REPARATION  SERVICES DIVERS ,01P,X,,
J00010012938,2022-03-17 11:31:39,8130Z,PETITS TRAVAUX DE JARDINAGES ET BRICOLAGES TONTE DE PELOUSE PLANTATION DE FLEURS TAILLE D ARBUSTE,01P,X,,
J00010007797,2022-03-12 03:41:58,9609Z,DOULA   ACCOMPAGNANTE EN PERINATALITE  SOUTIEN NON MEDICAL   PHYSIQUE PRATIQUE ET MORAL AUX FAMILLE AUTOUR DE LA NAISSANCE,01P,X,,
J00010018927,2022-03-26 04:16:40,7410Z,AMEUBLEMENT DE BIENS  POUR INVESTISSEURS  DESTINES A ETRE LOUES MEUBLES  ACHAT REVENTE DE MEUBLES  MONTAGE DE MEUBLES  AGENCEMENT ,01P,X,,
J00010011468,2022-03-14 19:33:18,9609Z,ACCOMPAGNEMENT A LA PERFORMANCE SPORTIVE ET SCOLAIRE PAR LA PREPARATION MENTALE ET LE COACHING ,01P,X,,
J00010013712,2022-03-18 19:32:11,4511Z,ACHAT EST REVENTE DE VEHICULE D OCCASION,05P,C,99,
J00010020147,2022-03-28 03:32:18,8121Z,ACTIVITE DE MENAGE,01P,X,,
J00010016822,2022-03-23 19:35:26,7112B,WORK ONLINE AS A SEARCH ENGINE EVALUATOR  ONLINE TASK CONTRIBUTOR ,01P,X,,
J00010012508,2022-03-16 19:35:40,7022Z,CONSEIL EN DURABILITE    STRATEGIE ENVERS LES PROBLEMATIQUES ESG  ENVIRONNEMENTALES  SOCIETALES GOUVERNANCE ,01P,X,,
J00010019537,2022-03-26 11:31:15,4312A,TRAVAUX PUBLICS,01P,M,14,
J00010012128,2022-03-16 04:12:00,9602B,GEL RESINE CAPSULE  EMBELLIR LES MAINS,01P,X,,
J00010017028,2022-03-23 19:35:47,9329Z,ORGANISATION  CONCEPTION ET DIRECTION ARTISTIQUE D EVENEMENTS PROFESSIONNELS,01P,C,99,
J00010016947,2022-03-23 19:35:36,4649Z,VENTE DE PRODUITS ET GOODIES LOGOTES AUPRES D ENTREPRISES ET DE COMMERCES ,01P,C,09,
J00010013217,2022-03-18 03:35:13,5224B,MERCHANDISEUR METTEUR EN RAYON MANUTENTIONNAIRE NON PORTUAIRE,05P,L,,
J00010013118,2022-03-17 19:32:55,9609Z,SOPHROLOGIE   BIEN ETRE   BRAIN GYM,01P,X,,
